domain,credibility_rating,tranco_ranking,political_leaning
dallasnews.com,0.868633253227712,1699,left
jw.org,0.274417751767474,1703,right
foreignpolicy.com,0.9188630552181158,1705,left
aa.com.tr,0.613601275347775,1708,left
corriere.it,0.905742728592858,1713,left
treehugger.com,0.69408275809965,1730,left
amnesty.org,0.853621469236173,1736,left
nzherald.co.nz,0.905833875771101,1738,left
faz.net,0.816946216297037,1745,left
sbnation.com,0.645891002852989,1748,right
si.com,0.57194619974825,1750,right
azcentral.com,0.883888053832636,1751,left
polygon.com,0.8616133789439391,1759,left
popsugar.com,0.624068248073698,1765,left
sueddeutsche.de,0.55039980061737,1775,left
zdf.de,0.932303283086416,1780,left
timesofisrael.com,0.816946216297037,1783,left
dawn.com,0.833642692964758,1784,left
channel4.com,0.6973248025209461,1802,left
refinery29.com,0.6461373275142099,1808,left
livestrong.com,0.254161357896081,1810,left
macrumors.com,0.578461634386328,1812,left
barrons.com,0.816946216297037,1816,left
huffingtonpost.co.uk,0.5709124581977271,1828,left
abc.es,0.8416665441500201,1842,left
business-standard.com,0.621191679644488,1849,left
upi.com,0.950555959253076,1856,left
ourworldindata.org,0.7744418366825241,1858,left
chosun.com,0.494616653827664,1860,left
mentalfloss.com,0.898917790455543,1873,left
boingboing.net,0.6280901848184189,1878,left
thegatewaypundit.com,0.109374585525566,1879,right
hopkinsmedicine.org,0.956072309009315,1880,left
gmanetwork.com,0.600621425854588,1888,left
gq.com,0.625480356226754,1889,left
baltimoresun.com,0.751121186851294,1890,left
oregonlive.com,0.870944058431929,1893,left
kotaku.com,0.796667623537208,1898,left
ipcc.ch,0.7539203992078299,1903,left
ama-assn.org,0.9003635836517242,1911,left
zerohedge.com,0.272420899604219,1917,right
nationalpost.com,0.830057231645153,1920,left
theage.com.au,0.7740001213530071,1929,left
adage.com,0.739539027697049,1933,left
laweekly.com,0.658549831212272,1934,left
bitchute.com,0.124014428918512,1946,right
drudgereport.com,0.4633760068446501,1972,right
suntimes.com,0.75039172395736,1976,left
makeuseof.com,0.871165064239559,1980,left
freep.com,0.876111992817132,1986,left
motherjones.com,0.660900904377969,1992,left
vulture.com,0.8433743168037371,2011,left
federalreserve.gov,0.645891002852989,2029,left
medicinenet.com,0.6732546013137559,2036,right
thestreet.com,0.816946216297037,2045,left
travelandleisure.com,0.619858391185572,2053,left
verywellmind.com,0.6707828900275289,2057,left
dailycaller.com,0.469965661505635,2063,right
ajc.com,0.8718412073363809,2077,left
fivethirtyeight.com,0.8296224956284781,2078,left
focus.de,0.6762514578666371,2100,left
propublica.org,0.8532347430407711,2101,left
haaretz.com,0.671801281529131,2109,left
rfi.fr,0.669745237763969,2119,left
aclu.org,0.7124910432968481,2126,left
everydayhealth.com,0.861601738612092,2140,left
channelnewsasia.com,0.871165064239559,2162,left
9to5mac.com,0.649059509496227,2168,left
newsmax.com,0.2872078043759519,2179,right
nber.org,0.9118849478237622,2190,left
harpersbazaar.com,0.7117884295934901,2206,left
theintercept.com,0.607953026497043,2223,left
bestlifeonline.com,0.8371243466206629,2226,left
mehrnews.com,0.6537901297462171,2227,left
menshealth.com,0.561700543860227,2229,left
cointelegraph.com,0.653613383806562,2233,left
sfchronicle.com,0.848033653648194,2240,left
fas.org,0.8540819234596171,2242,left
ksl.com,0.8826996859680658,2243,right
francetvinfo.fr,0.848325015675645,2254,left
post-gazette.com,0.899740536782206,2272,left
sandiegouniontribune.com,0.961102639657948,2285,left
washingtonexaminer.com,0.508074929491517,2286,right
theaustralian.com.au,0.787634263876418,2287,left
4chan.org,0.634463601207276,2295,right
tagesschau.de,0.7057691709703341,2300,left
cleveland.com,0.8878558823502509,2305,left
foxsports.com,0.764216740611223,2310,right
self.com,0.7118683224935821,2312,left
sciencealert.com,0.8895223457172571,2319,left
discovermagazine.com,0.8619210057267199,2328,left
complex.com,0.7536410116163671,2332,left
verywellhealth.com,0.762765344566223,2333,left
rd.com,0.619205572780572,2334,right
nationalreview.com,0.573614730794166,2349,right
ouest-france.fr,0.682329242804467,2351,left
politico.eu,0.7063996817121999,2353,left
inquirer.com,0.8416665441500201,2356,left
thenation.com,0.6638538949283399,2362,left
westernjournal.com,0.212942660560995,2364,right
rte.ie,0.854788060655499,2366,left
mlive.com,0.8691792935669771,2369,left
tampabay.com,0.8719410236115451,2387,left
